"gateway ID","node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","status","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"B827EBFFFEE895BE","","2023-10-21 05:39:09.896Z",  70261395, 903900000,0, 0,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-35, +6.8,"065BEA45-31"
"B827EBFFFEE895BE","","2023-10-21 05:39:13.699Z",  74066347, 903900000,0, 0,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-34, +6.2,"065BEA45-72"
"B827EBFFFEE895BE","","2023-10-21 05:39:17.528Z",  77893067, 903900000,0, 0,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-35, +6.5,"065BEA45-A3"
"B827EBFFFEE895BE","","2023-10-21 05:39:21.335Z",  81700707, 903900000,0, 0,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-34, +6.5,"065BEA45-E4"
"B827EBFFFEE895BE","","2023-10-21 05:39:25.140Z",  85505555, 903900000,0, 0,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-34, +6.8,"065BEA46-25"
"B827EBFFFEE895BE","","2023-10-21 05:39:28.943Z",  89309755, 903900000,0, 0,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-33, +6.8,"065BEA46-66"
"B827EBFFFEE895BE","","2023-10-21 05:39:32.748Z",  93115179, 903900000,0, 0,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-35, +7.8,"065BEA46-A7"
"B827EBFFFEE895BE","","2023-10-21 05:39:36.555Z",  96920307, 903900000,0, 0,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-35, +6.5,"065BEA46-E8"
"B827EBFFFEE895BE","","2023-10-21 05:39:40.360Z", 100725659, 903900000,0, 0,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-34, +6.5,"065BEA47-19"
"B827EBFFFEE895BE","","2023-10-21 05:39:44.165Z", 104531299, 903900000,0, 0,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-34, +6.8,"065BEA47-5A"
"B827EBFFFEE895BE","","2023-10-21 05:39:47.975Z", 108340363, 903900000,0, 0,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-36, +7.2,"065BEA47-9B"
"B827EBFFFEE895BE","","2023-10-21 05:39:51.780Z", 112144459, 903900000,0, 0,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-36, +6.8,"065BEA47-DC"
