"gateway ID","node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","status","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"B827EBFFFEE895BE","","2024-03-25 23:20:22.878Z",  20510035, 904100000,0, 1,"CRC_BAD", 38,"LORA",125000,"SF7"   ,"4/7",-107,-11.8,"3905B1B0-A834AE3F-776CDC29-E1887B8D-F0E1F577-A024BA90-582AF57E-514BB11B-DA14CA6E-2323"
"B827EBFFFEE895BE","","2024-03-25 23:22:14.268Z", 131900203, 903900000,0, 0,"CRC_BAD", 52,"LORA",125000,"SF7"   ,"2/3",-108,-11.5,"72704A93-3ABE3C42-A746F470-BFB2C4F0-8DEEC4E8-6B368B21-0B0D3352-AEFE437E-D41309C3-8847E50B-0EF8C5F8-5F09B2D1-391EB495"
"B827EBFFFEE895BE","","2024-03-25 23:24:20.267Z", 257899564, 905100000,1, 6,"CRC_BAD",107,"LORA",125000,"SF7"   ,"1/2",-102,-11.5,"8A7DB468-190A9E97-343FA80C-D8175854-2D70C1DC-2C62CD2D-A1C4A20E-D170A9DC-EEBCD3DC-98D85429-08F79D61-AF223C36-89A32006-AF58F658-1951A7E8-91F0648D-3FDCC5E4-35F1D4CD-A2B2907E-12FEA588-13A983F2-A832DEBD-195994F5-14E149FC-8428C790-58213D28-AECE7D"
"B827EBFFFEE895BE","","2024-03-25 23:24:56.962Z", 294594355, 903900000,0, 0,"CRC_BAD",120,"LORA",125000,"SF7"   ,"4/5",-105, -9.2,"10000300-0CCC0C00-00000000-00000000-04000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00600000-00000000-00000000-00000000-00000000-00000000"
"B827EBFFFEE895BE","","2024-03-25 23:25:02.791Z", 300424731, 903900000,0, 0,"CRC_OK" , 30,"LORA",125000,"SF7"   ,"4/5",-105, -3.0,"10000401-00000000-00000000-00000000-00000000-00000000-00000000-0000"
"B827EBFFFEE895BE","","2024-03-25 23:25:09.916Z", 307548795, 903900000,0, 0,"CRC_OK" , 90,"LORA",125000,"SF7"   ,"4/5",-105, -1.8,"10000601-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-0000"
"B827EBFFFEE895BE","","2024-03-25 23:25:13.475Z", 311108211, 903900000,0, 0,"CRC_OK" ,120,"LORA",125000,"SF7"   ,"4/5",-105, -3.2,"10000701-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000"
"B827EBFFFEE895BE","","2024-03-25 23:25:19.302Z", 316932531, 903900000,0, 0,"CRC_OK" , 30,"LORA",125000,"SF7"   ,"4/5",-100, +2.5,"10000802-00000000-00000000-00000000-00000000-00000000-00000000-0000"
"B827EBFFFEE895BE","","2024-03-25 23:25:22.857Z", 320488043, 903900000,0, 0,"CRC_OK" , 60,"LORA",125000,"SF7"   ,"4/5",-102, +2.0,"10000902-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000"
"B827EBFFFEE895BE","","2024-03-25 23:25:26.417Z", 324049795, 903900000,0, 0,"CRC_OK" , 90,"LORA",125000,"SF7"   ,"4/5",-102, +1.5,"10000A02-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-0000"
