"gateway ID","node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","status","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"B827EBFFFEE895BE","","2024-03-14 14:48:55.369Z",  71642211, 903900000,0, 0,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-57, +6.8,"10000202-00"
"B827EBFFFEE895BE","","2024-03-14 14:48:59.373Z",  75646411, 903900000,0, 0,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-59, +6.5,"10000303-00"
"B827EBFFFEE895BE","","2024-03-14 14:49:05.380Z",  81652131, 904100000,0, 1,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-64, +6.8,"10000420-00"
"B827EBFFFEE895BE","","2024-03-14 14:49:13.388Z",  89660747, 904100000,0, 1,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-52, +5.5,"10000622-00"
"B827EBFFFEE895BE","","2024-03-14 14:49:14.297Z",  90569355, 903900000,0, 0,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-43, +6.8,"20000000-00"
"B827EBFFFEE895BE","","2024-03-14 14:49:17.393Z",  93665083, 904100000,0, 1,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-54, +7.2,"10000723-00"
"B827EBFFFEE895BE","","2024-03-14 14:49:18.300Z",  94573979, 903900000,0, 0,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-37, +6.5,"20000101-00"
"B827EBFFFEE895BE","","2024-03-14 14:49:22.304Z",  98577995, 903900000,0, 0,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-33, +6.5,"20000202-00"
"B827EBFFFEE895BE","","2024-03-14 14:49:26.311Z", 102582467, 903900000,0, 0,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-33, +6.5,"20000303-00"
"B827EBFFFEE895BE","","2024-03-14 14:49:31.406Z", 107677707, 904300000,0, 2,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-53, +5.5,"10000A42-00"
"B827EBFFFEE895BE","","2024-03-14 14:49:32.316Z", 108588563, 904100000,0, 1,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-45, +7.8,"20000420-00"
"B827EBFFFEE895BE","","2024-03-14 14:49:35.410Z", 111682003, 904300000,0, 2,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-49, +5.2,"10000B43-00"
"B827EBFFFEE895BE","","2024-03-14 14:49:36.320Z", 112593355, 904100000,0, 1,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-37, +6.2,"20000521-00"
"B827EBFFFEE895BE","","2024-03-14 14:49:41.415Z", 117688067, 904500000,0, 3,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-63, +7.2,"10000C60-00"
"B827EBFFFEE895BE","","2024-03-14 14:49:44.330Z", 120602419, 904100000,0, 1,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-31, +6.5,"20000723-00"
"B827EBFFFEE895BE","","2024-03-14 14:49:45.419Z", 121692363, 904500000,0, 3,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-59, +7.5,"10000D61-00"
"B827EBFFFEE895BE","","2024-03-14 14:49:49.424Z", 125696499, 904500000,0, 3,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-54, +7.8,"10000E62-00"
"B827EBFFFEE895BE","","2024-03-14 14:49:50.334Z", 126608059, 904300000,0, 2,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-43, +5.5,"20000840-00"
"B827EBFFFEE895BE","","2024-03-14 14:49:53.428Z", 129700547, 904500000,0, 3,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-48, +6.5,"10000F63-00"
