gateway ID,node MAC,UTC timestamp,us count,frequency,RF chain,RX chain,status,size,modulation,bandwidth,datarate,coderate,RSSI,SNR,payload
B827EBFFFEE895BE,,2024-02-16 02:37:39.812Z,  13855675, 903900000,0, 0,CRC_OK ,  5,LORA,125000,SF7   ,4/5,-67, +7.0,10100111111011000101110000000110-01010001101001111110110001011100-00000000010100011010011111101100-00000000000000000101000110100111-00000000000000000000000001010001
B827EBFFFEE895BE,,2024-02-16 02:37:43.617Z,  17660651, 903900000,0, 0,CRC_OK ,  5,LORA,125000,SF7   ,4/5,-71, +7.8,10100111111011000101110000000110-10000010101001111110110001011100-00000000100000101010011111101100-00000000000000001000001010100111-00000000000000000000000010000010
B827EBFFFEE895BE,,2024-02-16 02:37:47.420Z,  21465275, 903900000,0, 0,CRC_OK ,  5,LORA,125000,SF7   ,4/5,-52, +7.2,10100111111011000101110000000110-11000011101001111110110001011100-10011101110000111010011111101100-00000100100111011100001110100111-11010000000001001001110111000011
B827EBFFFEE895BE,,2024-02-16 02:37:51.226Z,  25269851, 903900000,0, 0,CRC_OK ,  5,LORA,125000,SF7   ,4/5,-66, +7.2,10101000111011000101110000000110-00000100101010001110110001011100-10011101000001001010100011101100-00000100100111010000010010101000-11010000000001001001110100000100
B827EBFFFEE895BE,,2024-02-16 02:37:55.031Z,  29075283, 903900000,0, 0,CRC_OK ,  5,LORA,125000,SF7   ,4/5,-67, +7.0,10101000111011000101110000000110-01000101101010001110110001011100-10011101010001011010100011101100-00000100100111010100010110101000-11010000000001001001110101000101
B827EBFFFEE895BE,,2024-02-16 02:38:02.641Z,  36684691, 903900000,0, 0,CRC_OK ,  5,LORA,125000,SF7   ,4/5,-83, +6.8,10101000111011000101110000000110-10110111101010001110110001011100-10011101101101111010100011101100-00000100100111011011011110101000-11010000000001001001110110110111
B827EBFFFEE895BE,,2024-02-16 02:38:06.445Z,  40489619, 903900000,0, 0,CRC_OK ,  5,LORA,125000,SF7   ,4/5,-84, +7.0,10101000111011000101110000000110-11111000101010001110110001011100-10011101111110001010100011101100-00000100100111011111100010101000-11010000000001001001110111111000
B827EBFFFEE895BE,,2024-02-16 02:38:10.275Z,  44319307, 903900000,0, 0,CRC_OK ,  5,LORA,125000,SF7   ,4/5,-83, +6.8,10101001111011000101110000000110-00111001101010011110110001011100-10011101001110011010100111101100-00000100100111010011100110101001-11010000000001001001110100111001
B827EBFFFEE895BE,,2024-02-16 02:38:14.079Z,  48124283, 903900000,0, 0,CRC_OK ,  5,LORA,125000,SF7   ,4/5,-95, +5.2,10101001111011000101110000000110-01111010101010011110110001011100-10011101011110101010100111101100-00000100100111010111101010101001-11010000000001001001110101111010
B827EBFFFEE895BE,,2024-02-16 02:38:17.885Z,  51929419, 903900000,0, 0,CRC_OK ,  5,LORA,125000,SF7   ,4/5,-87, +6.2,10101001111011000101110000000110-10111011101010011110110001011100-10011101101110111010100111101100-00000100100111011011101110101001-11010000000001001001110110111011
