"gateway ID","node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","status","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"B827EBFFFEE895BE","","2024-03-13 03:57:58.118Z",1006305883, 903900000,0, 0,"CRC_BAD", 59,"LORA",125000,"SF7"   ,"4/5",-117,-11.8,"431954E9-A6E0D157-1E4E0C94-C89B5AC9-ED291A12-37D85216-79E42B26-9AAAEA0B-CAB2BC80-3336487E-43D68C57-E1E434D0-EAEB991D-B8C9B02D-CED738"
"B827EBFFFEE895BE","","2024-03-13 04:00:47.365Z",1175549220, 905300000,1, 7,"CRC_BAD",228,"LORA",125000,"SF7"   ,""   ,-113,-12.0,"EBFCB87F-D8C94471-4F0769C3-44BCE309-D0992B45-4BE44FD6-92162250-2B31224F-6C8EDF51-3CDE6186-C6D48374-ED8BB073-88A1C287-4C37B205-20D096E6-11ADE7D3-7C5AF812-4897EB31-80EB6866-396F4722-EF9B1D03-EB4C6AF1-9F7BBB5F-99A1196D-E4BC9078-681468C4-A1D31435-BBFB48B1-75E9142C-6D172ACF-EFAE9C79-A48A285E-55537582-AA529561-960F03A9-36D0C982-4D49763B-480C4A11-A09DAE24-D6BE8F30-62965F68-032A7E10-138D7383-B4BC42EE-6074B69D-C499A3EB-CE928158-37F95315-43C4D75C-E254ED0C-E55CB395-C93B2496-171FE527-AA8C0377-698ACC92-08EF2DBB-0EA2BEE2"
"B827EBFFFEE895BE","","2024-03-13 04:00:58.193Z",1186377740, 905100000,1, 6,"CRC_BAD",148,"LORA",125000,"SF7"   ,"4/5",-112,-11.2,"79711BFB-7D4C7E1D-406F272E-9DB290F6-857E94BF-3D4ACF20-B0AB701A-5CBB6E63-7AA72DD7-BBC6A755-349479C1-27B7E41B-7520D937-E8DF0F39-D1147B32-356625D0-85ED5461-1659C39C-73FDE385-AC5FE030-0C919F5C-B8EA58D1-40D38ED7-D11E41A1-3354C281-905173E5-791F0971-826785CC-B238358D-580D8702-A52AC9B1-8741390A-2FBB842D-8D001B30-E58ADAD3-2D43E437-40914CE5"
"B827EBFFFEE895BE","","2024-03-13 04:01:00.750Z",1188932379, 904700000,1, 4,"CRC_BAD",152,"LORA",125000,"SF7"   ,"4/5",-113,-10.8,"8F7B2194-561C24B2-E84741EC-769F32BA-E0549A11-E1332CA7-1C2D8CAE-51F43221-70F1475A-0C5290CB-A81457AB-5999E9D7-DD9CE581-99DA6E36-93A628F0-F355C110-9499D920-A6373304-374A1664-2E15E290-226FA709-74A9AAE4-BAD4041A-E339E959-808F6B61-BA787342-48789D4B-A9F9E750-DA2C7517-1347AA51-84BF5EF9-CDA7A194-033894BC-F0031004-6C3AA38C-06A76D23-59A154D2-52A15248"
"B827EBFFFEE895BE","","2024-03-13 04:08:02.680Z",1610859684, 905100000,1, 6,"CRC_BAD", 21,"LORA",125000,"SF10"  ,"4/5",-113,-17.2,"40354401-1280638F-0122C622-800AF359-FE39A194-B7"
"B827EBFFFEE895BE","","2024-03-13 04:09:36.985Z",1705169387, 904500000,0, 3,"CRC_BAD", 88,"LORA",125000,"SF7"   ,"4/7",-113,-11.2,"F7843644-DE54C230-BA2AC73F-9978C3D9-60A437BA-F109A336-16311F85-CB2A1177-0AE2D6A6-91B51768-39A44FFB-F84470D8-86C9AF3B-B099A12F-4331279E-84CD9367-0D0EFB41-768978EA-56D4BA09-D8F7ECED-E0EE0067-1D220FA7"
"B827EBFFFEE895BE","","2024-03-13 04:09:46.924Z",1715107067, 904100000,0, 1,"CRC_BAD",210,"LORA",125000,"SF7"   ,"2/3",-115,-11.5,"A4C25B87-EBC7DD32-DC377C33-3A75E146-B12C22FB-2195FE3B-C2CC4F96-2842D5D7-FAFD9160-92A6CCD7-4040BD22-1F371C67-8240C03E-024FEFCF-4F046678-8C8C7B6C-EA59429E-0B99AB9B-034F0D1D-4105E7C0-0C23265B-81E5BCD0-BC6C91FC-77553095-4860B550-94A4A301-0F9F0AD6-76FFCEEA-E91E547B-6E4DC716-FF00F4AD-7E4FF30D-BF19A423-4FC66729-C6E52045-04ADD79A-C1553A1E-DFCFB444-4DABB4C8-1906641C-418FA282-E0235F7F-50C80D53-D1AD5B12-985B9137-7BB015B4-C60C93D3-FCD1E13C-5D468898-BE456C99-50A9BD3C-6467A35D-678E"
"B827EBFFFEE895BE","","2024-03-13 04:12:18.239Z",1866419427, 903900000,0, 0,"CRC_BAD",212,"LORA",125000,"SF7"   ,"2/3",-116,-11.5,"46C940F0-C43CD5A4-6467A01D-4E7B358B-F6BE3C6A-F7F82DA7-F4EBB730-109E85D0-53D4574C-510AA9AF-AE520E0E-8232D27D-668304DA-8E21221F-19E3081F-CA1DF88A-C191CB31-99A0C859-2F7643FB-6325BA2A-2D0BBB01-0B226306-91511720-12FD3EF7-C6BF6110-4B1EBA66-4ADF0649-DDB10AC8-5766A282-B4FC5C49-0386D738-E417A924-70C76DE5-4DF06BCF-481F79EE-F59A9455-25C91F04-E17E5D78-A9E104CC-7E9F4839-122B6D45-48680AFE-ED7BDE47-8D51FA67-F0C2D3A1-B2B620B9-933E9CB4-B24CD53F-7986529B-8C5F8CC9-9D3A720F-8771F0F5-8551F246"
"B827EBFFFEE895BE","","2024-03-13 04:13:20.319Z",1928501292, 905100000,1, 6,"CRC_OK" , 31,"LORA",125000,"SF8"   ,"4/5",-112, -4.5,"20C03300-E4EA0210-F4212B01-111081D6-A8C18167-87852D51-C09F2C00-000C6F"
"B827EBFFFEE895BE","","2024-03-13 04:15:40.419Z",2068600196, 904300000,0, 2,"CRC_BAD", 64,"LORA",125000,"SF8"   ,"4/5",-117, -3.5,"21DC2000-E4571BC1-81210E01-16830102-0E88C52D-6A040165-0544EA02-10F7E602-10F41986-028A8210-F40A4064-0702D525-562C0AE4-03016207-02DA4203-90012F9A"
"B827EBFFFEE895BE","","2024-03-13 04:15:43.406Z",2071584724, 904300000,0, 2,"CRC_BAD", 48,"LORA",125000,"SF8"   ,"4/5",-113, -4.0,"202EA2C1-81566C00-E4122D02-0603015A-91520B26-028A0210-F48C4C00-E4139081-2EA14181-F8E7C52D-51C2FB12-00007DEE"
"B827EBFFFEE895BE","","2024-03-13 04:18:02.055Z",2210233220, 905100000,1, 6,"CRC_BAD", 77,"LORA",125000,"SF7"   ,""   ,-114,-11.8,"08EC942A-C3A80BF1-C2430AF4-583A43A1-532933CA-68F902CC-E12B6D3A-CA17755A-D38564E1-0C148807-300FC586-BE3D73E3-80901437-F550EBB2-75789B80-8E90F708-F1064923-375B8879-62019433-30"
"B827EBFFFEE895BE","","2024-03-13 04:18:42.022Z",2250199148, 904700000,1, 4,"CRC_BAD",144,"LORA",125000,"SF8"   ,"4/5",-114,-13.8,"F99611C6-A0DF9BC0-847ADF4D-C46DBBB6-E42F0749-888D452C-9C7F4B3F-2A28D26B-DAAC5EF4-A4C488B7-96DBBA64-EAA04E20-D4418687-792E9314-5EB50225-B17EC2E2-3767BC24-00D0D251-A256B108-1A249619-4FB0201C-5CF6757F-85DBB974-B731632E-C753D0B6-1B84A58E-CBA7CB29-76C8E2AA-DED59588-A904E389-B4A82EA9-67E16AC0-E45C3E04-EF1D9261-DAD66289-8A9E3F90"
"B827EBFFFEE895BE","","2024-03-13 04:24:19.568Z",2587745236, 904700000,1, 4,"CRC_BAD", 17,"LORA",125000,"SF8"   ,"4/5",-89, -1.0,"61660FD0-9DC0753A-E2E3498F-0330031E-3A"
"B827EBFFFEE895BE","","2024-03-13 04:25:03.528Z",2631705275, 904700000,1, 4,"CRC_BAD",117,"LORA",125000,"SF7"   ,""   ,-112,-11.5,"AAD8D67B-B4CE069D-331391A1-4E2F6F19-1CB6DAE4-9873BF71-802E9504-46577054-218281F8-EB44C9DC-ADEB85BD-56495D9F-B9825E8A-44BC08A7-43D82755-C2612D86-73322924-AB7BD083-B12CA239-D3B4D359-ED1E5EA9-B8181B59-868D5678-5A4A0000-687AC8B6-4E13DB79-5ED7E0E0-F452296C-DC91D020-68"
"B827EBFFFEE895BE","","2024-03-13 04:25:04.297Z",2632470828, 904500000,0, 3,"CRC_OK" , 21,"LORA",125000,"SF10"  ,"4/5",-114,-11.2,"4085D207-12805312-0110E8EC-3A3757D6-5446C01B-DB"
"B827EBFFFEE895BE","","2024-03-13 04:25:19.260Z",2647436332, 905100000,1, 6,"CRC_BAD",107,"LORA",125000,"SF7"   ,"1/2",-112,-12.2,"1137B13B-58006B5B-6A42BAAF-955FF371-C353D3CC-81E35D49-FD57D856-86D92B6D-0B8D1AAD-30EBE289-38016A5A-3637FC89-DC5DE878-2533E33E-BF19341A-1000EDA8-3BAC3350-ED531E93-55959776-AB9A15D9-BAE9C7E6-D9080ED7-70B232B4-8F3DB9F0-5C30AAF3-17D479E5-37E756"
"B827EBFFFEE895BE","","2024-03-13 04:25:31.368Z",2659545059, 904100000,0, 1,"CRC_BAD",161,"LORA",125000,"SF7"   ,"4/7",-114,-11.0,"C392B9FB-CD913C1C-DE1CF5F1-39EFA179-9FBD0B24-EC4844FA-C7D90019-F7BF3CD1-2A88032B-95CC92F1-D49AADE8-C618B3E2-D6D6EE34-8E814E7D-4726CF1B-BEE61CBE-DEC3B85F-C2C0E08C-2956CD46-68A28365-6915816D-077923DA-DD6AA959-E861BE33-952E969B-0E2CD071-AC7DC254-7A1D99CE-8E4B8109-5AA36546-4C2099BE-03AA11FD-7C2063F7-247E942F-4BDF8D1C-74B6CFC0-5C8A15B9-3CCCB109-30A3F1F4-FD52FC94-2B"
