"gateway ID","node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","status","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"B827EBFFFEE895BE","","2024-03-13 01:57:07.268Z",  66441691, 903900000,0, 0,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-60, +6.8,"10000000-00"
"B827EBFFFEE895BE","","2024-03-13 01:57:11.271Z",  70445747, 903900000,0, 0,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-53, +6.2,"10000101-00"
"B827EBFFFEE895BE","","2024-03-13 01:57:15.277Z",  74449835, 903900000,0, 0,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-47, +6.8,"10000202-00"
"B827EBFFFEE895BE","","2024-03-13 01:57:15.277Z",  74450187, 904100000,0, 1,"CRC_BAD",  5,"LORA",125000,"SF7"   ,"4/5",-97, -8.5,"336AECAC-6F"
"B827EBFFFEE895BE","","2024-03-13 01:57:19.280Z",  78454507, 903900000,0, 0,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-45, +6.5,"10000303-00"
"B827EBFFFEE895BE","","2024-03-13 01:57:29.290Z",  88464379, 904100000,0, 1,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-51, +6.5,"10000521-00"
"B827EBFFFEE895BE","","2024-03-13 01:57:33.300Z",  92468683, 904100000,0, 1,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-45, +6.8,"10000622-00"
"B827EBFFFEE895BE","","2024-03-13 01:57:37.302Z",  96473699, 904100000,0, 1,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-42, +6.5,"10000723-00"
"B827EBFFFEE895BE","","2024-03-13 01:57:43.305Z", 102479475, 904300000,0, 2,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-57, +5.8,"10000840-00"
"B827EBFFFEE895BE","","2024-03-13 01:57:47.312Z", 106483563, 904300000,0, 2,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-55, +4.8,"10000941-00"
"B827EBFFFEE895BE","","2024-03-13 01:57:51.315Z", 110487579, 904300000,0, 2,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-51, +5.5,"10000A42-00"
"B827EBFFFEE895BE","","2024-03-13 01:57:55.318Z", 114491651, 904300000,0, 2,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-49, +5.8,"10000B43-00"
"B827EBFFFEE895BE","","2024-03-13 01:58:01.324Z", 120496939, 904500000,0, 3,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-60, +7.2,"10000C60-00"
"B827EBFFFEE895BE","","2024-03-13 01:58:03.729Z", 122903075, 903900000,0, 0,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-45, +7.5,"20000000-00"
"B827EBFFFEE895BE","","2024-03-13 01:58:05.327Z", 124501107, 904500000,0, 3,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-55, +7.2,"10000D61-00"
"B827EBFFFEE895BE","","2024-03-13 01:58:07.734Z", 126907443, 903900000,0, 0,"CRC_OK" ,  5,"LORA",125000,"SF7"   ,"4/5",-41, +7.0,"20000101-00"
