"gateway ID","node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","status","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"B827EBFFFEE895BE","","2024-04-22 06:19:38.296Z",   3346932, 904100000,0, 1,"CRC_OK" , 60,"LORA",125000,"SF9"   ,"4/5",-113, -3.8,"402D6D2B-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000"
"B827EBFFFEE895BE","","2024-04-22 06:19:38.958Z",   4009980, 904900000,1, 5,"CRC_BAD", 60,"LORA",125000,"SF8"   ,"4/7",-113,-12.5,"602C09A6-40000000-00000000-00000000-00000000-00000000-804488C0-100CDCDC-BDE4B2E7-19D92515-E6E6BB50-A6F937A9-0EEDA750-870EB4CA-0ADBD66E"
"B827EBFFFEE895BE","","2024-04-22 06:19:39.677Z",   4729564, 904900000,1, 5,"CRC_OK" ,120,"LORA",125000,"SF9"   ,"4/7",-101, +5.0,"202DCFAB-40000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000"
"B827EBFFFEE895BE","","2024-04-22 06:19:39.987Z",   5040748, 904300000,0, 2,"CRC_OK" , 60,"LORA",125000,"SF8"   ,"4/7",-107, +2.2,"502C6144-40000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000"
"B827EBFFFEE895BE","","2024-04-22 06:19:40.406Z",   5455572, 904100000,0, 1,"CRC_OK" , 30,"LORA",125000,"SF10"  ,"1/2",-111, -6.5,"D02CC82E-80000000-00000000-00000000-00000000-00000000-00000000-0000"
"B827EBFFFEE895BE","","2024-04-22 06:19:40.670Z",   5719836, 904900000,1, 5,"CRC_OK" , 30,"LORA",125000,"SF10"  ,"1/2",-113,-10.5,"802CD4AD-80000000-00000000-00000000-00000000-00000000-00000000-0000"
"B827EBFFFEE895BE","","2024-04-22 06:19:40.722Z",   5777420, 905300000,1, 7,"CRC_BAD", 90,"LORA",125000,"SF7"   ,"4/5",-111, -9.5,"C02D32E0-00000000-00000099-909080A0-00080000-00000000-00C00000-820120A2-A98A0A01-00000000-00000000-00000000-00022202-00000000-00000000-02000000-00000008-00800C90-99090000-00080450-0D000000-00500040-0400"
"B827EBFFFEE895BE","","2024-04-22 06:19:40.780Z",   5833075, 904100000,0, 1,"CRC_OK" ,120,"LORA",125000,"SF7"   ,"4/5",-113, -5.5,"B02D6B22-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000"
"B827EBFFFEE895BE","","2024-04-22 06:19:41.955Z",   7008396, 904100000,0, 1,"CRC_OK" , 90,"LORA",125000,"SF9"   ,"4/5",-114, -5.0,"402D6E2B-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-0000"
"B827EBFFFEE895BE","","2024-04-22 06:19:42.576Z",   7628764, 904900000,1, 5,"CRC_BAD", 90,"LORA",125000,"SF8"   ,"4/7",-113,-11.2,"602C0AA6-40000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-10001101-01000000-00000000-00000000-0000"
"B827EBFFFEE895BE","","2024-04-22 06:19:43.008Z",   8057852, 905100000,1, 6,"CRC_OK" , 30,"LORA",125000,"SF9"   ,"4/7",-107, +5.2,"102DE8CA-40000000-00000000-00000000-00000000-00000000-00000000-0000"
"B827EBFFFEE895BE","","2024-04-22 06:19:43.468Z",   8520844, 904500000,0, 3,"CRC_BAD",120,"LORA",125000,"SF9"   ,"4/7",-108,-15.2,"E0879BC9-4AD6D0E3-5859D8C7-C0DDDD00-00000E40-00070D00-C0100100-90900190-09221121-30380983-619B0088-00005001-11800044-0A440470-D61000A1-7A00046A-7D0D49D5-B0C0A0A0-A23500D4-005000D0-006429D8-99190860-C0500000-020F3000-DB0D8D07-3060E406-20218600-20AFCE00-04B40000-AA0A0D0E"
"B827EBFFFEE895BE","","2024-04-22 06:19:43.574Z",   8616468, 904500000,0, 3,"CRC_OK" ,120,"LORA",125000,"SF10"  ,"1/2",-109, -1.2,"A02C9F6F-80000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000"
"B827EBFFFEE895BE","","2024-04-22 06:19:43.610Z",   8659044, 904300000,0, 2,"CRC_OK" , 90,"LORA",125000,"SF8"   ,"4/7",-107, +2.2,"502C6244-40000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-0000"
"B827EBFFFEE895BE","","2024-04-22 06:19:44.321Z",   9371004, 904100000,0, 1,"CRC_OK" , 60,"LORA",125000,"SF10"  ,"1/2",-113, -7.5,"D02CC92E-80000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000-00000000"
